sucesso,tempo,comparacoes
-1,0.000002,-1
-1,0.000001,-1
-1,0.000001,0
-1,0.000001,2
-1,0.000001,5
-1,0.000002,9
-1,0.000001,14
-1,0.000001,20
-1,0.000001,27
-1,0.000002,35
-1,0.000001,44
-1,0.000001,54
-1,0.000001,65
-1,0.000002,77
-1,0.000001,90
-1,0.000001,104
-1,0.000001,119
-1,0.000002,135
-1,0.000001,152
-1,0.000001,170
-1,0.000001,189
-1,0.000002,209
-1,0.000001,230
-1,0.000001,252
-1,0.000001,275
-1,0.000001,299
-1,0.000002,324
-1,0.000002,350
-1,0.000001,377
-1,0.000001,405
-1,0.000001,434
-1,0.000001,464
-1,0.000001,495
-1,0.000002,527
-1,0.000001,560
-1,0.000001,594
-1,0.000001,629
-1,0.000001,665
-1,0.000001,702
-1,0.000001,740
-1,0.000002,779
-1,0.000002,819
-1,0.000002,860
-1,0.000001,902
-1,0.000002,945
-1,0.000002,989
-1,0.000002,1034
-1,0.000001,1080
-1,0.000001,1127
-1,0.000001,1175
-1,0.000001,1224
-1,0.000001,1274
-1,0.000001,1325
-1,0.000002,1377
-1,0.000002,1430
-1,0.000002,1484
-1,0.000002,1539
-1,0.000002,1595
-1,0.000002,1652
-1,0.000001,1710
-1,0.000002,1769
-1,0.000003,1829
-1,0.000003,1890
-1,0.000003,1952
-1,0.000003,2015
-1,0.000003,2079
-1,0.000003,2144
-1,0.000004,2210
-1,0.000002,2277
-1,0.000003,2345
-1,0.000003,2414
-1,0.000001,2484
-1,0.000003,2555
-1,0.000006,2627
-1,0.000002,2700
-1,0.000004,2774
-1,0.000002,2849
-1,0.000004,2925
-1,0.000002,3002
-1,0.000004,3080
-1,0.000002,3159
-1,0.000004,3239
-1,0.000002,3320
-1,0.000001,3402
-1,0.000005,3485
-1,0.000003,3569
-1,0.000002,3654
-1,0.000003,3740
-1,0.000003,3827
-1,0.000005,3915
-1,0.000003,4004
-1,0.000003,4094
-1,0.000016,4185
-1,0.000003,4277
-1,0.000004,4370
-1,0.000004,4464
-1,0.000003,4559
-1,0.000003,4655
-1,0.000003,4752
-1,0.000003,4850
-1,0.000004,4949
-1,0.000004,5049
-1,0.000002,5150
-1,0.000001,5252
-1,0.000001,5355
-1,0.000002,5459
-1,0.000001,5564
-1,0.000001,5670
-1,0.000001,5777
-1,0.000002,5885
-1,0.000001,5994
-1,0.000001,6104
-1,0.000001,6215
-1,0.000002,6327
-1,0.000002,6440
-1,0.000002,6554
-1,0.000003,6669
-1,0.000002,6785
-1,0.000003,6902
-1,0.000003,7020
-1,0.000002,7139
-1,0.000003,7259
-1,0.000002,7380
-1,0.000003,7502
-1,0.000003,7625
-1,0.000002,7749
-1,0.000002,7874
-1,0.000002,8000
-1,0.000002,8127
-1,0.000002,8255
-1,0.000002,8384
-1,0.000002,8514
-1,0.000002,8645
-1,0.000003,8777
-1,0.000003,8910
-1,0.000002,9044
-1,0.000002,9179
-1,0.000003,9315
-1,0.000002,9452
-1,0.000002,9590
-1,0.000002,9729
-1,0.000002,9869
-1,0.000003,10010
-1,0.000003,10152
-1,0.000002,10295
-1,0.000003,10439
-1,0.000003,10584
-1,0.000003,10730
-1,0.000002,10877
-1,0.000002,11025
-1,0.000002,11174
-1,0.000001,11324
-1,0.000002,11475
-1,0.000002,11627
-1,0.000002,11780
-1,0.000002,11934
-1,0.000001,12089
-1,0.000002,12245
-1,0.000002,12402
-1,0.000001,12560
-1,0.000002,12719
-1,0.000002,12879
-1,0.000001,13040
-1,0.000002,13202
-1,0.000002,13365
-1,0.000002,13529
-1,0.000002,13694
-1,0.000002,13860
-1,0.000001,14027
-1,0.000002,14195
-1,0.000001,14364
-1,0.000002,14534
-1,0.000002,14705
-1,0.000001,14877
-1,0.000002,15050
-1,0.000002,15224
-1,0.000001,15399
-1,0.000002,15575
-1,0.000002,15752
-1,0.000002,15930
-1,0.000002,16109
-1,0.000002,16289
-1,0.000002,16470
-1,0.000002,16652
-1,0.000002,16835
-1,0.000003,17019
-1,0.000002,17204
-1,0.000001,17390
-1,0.000002,17577
-1,0.000002,17765
-1,0.000002,17954
-1,0.000002,18144
-1,0.000002,18335
-1,0.000002,18527
-1,0.000001,18720
-1,0.000002,18914
-1,0.000002,19109
-1,0.000002,19305
-1,0.000001,19502
-1,0.000002,19700
-1,0.000002,19899
-1,0.000002,20099
-1,0.000002,20300
-1,0.000002,20502
-1,0.000002,20705
-1,0.000002,20909
-1,0.000002,21114
-1,0.000002,21320
-1,0.000002,21527
-1,0.000002,21735
-1,0.000002,21944
-1,0.000002,22154
-1,0.000001,22365
-1,0.000002,22577
-1,0.000002,22790
-1,0.000002,23004
-1,0.000002,23219
-1,0.000002,23435
-1,0.000002,23652
-1,0.000002,23870
-1,0.000002,24089
-1,0.000002,24309
-1,0.000002,24530
-1,0.000003,24752
-1,0.000002,24975
-1,0.000002,25199
-1,0.000002,25424
-1,0.000003,25650
-1,0.000002,25877
-1,0.000002,26105
-1,0.000002,26334
-1,0.000002,26564
-1,0.000002,26795
-1,0.000002,27027
-1,0.000002,27260
-1,0.000002,27494
-1,0.000002,27729
-1,0.000002,27965
-1,0.000002,28202
-1,0.000002,28440
-1,0.000002,28679
-1,0.000002,28919
-1,0.000002,29160
-1,0.000002,29402
-1,0.000002,29645
-1,0.000002,29889
-1,0.000002,30134
-1,0.000002,30380
-1,0.000003,30627
-1,0.000002,30875
-1,0.000002,31124
-1,0.000002,31374
-1,0.000002,31625
-1,0.000002,31877
-1,0.000002,32130
-1,0.000002,32384
-1,0.000002,32639
-1,0.000002,32895
-1,0.000002,33152
-1,0.000002,33410
-1,0.000002,33669
-1,0.000002,33929
-1,0.000002,34190
-1,0.000002,34452
-1,0.000002,34715
-1,0.000003,34979
-1,0.000003,35244
-1,0.000002,35510
-1,0.000002,35777
-1,0.000002,36045
-1,0.000002,36314
-1,0.000002,36584
-1,0.000002,36855
-1,0.000002,37127
-1,0.000003,37400
-1,0.000002,37674
-1,0.000002,37949
-1,0.000003,38225
-1,0.000002,38502
-1,0.000002,38780
-1,0.000002,39059
-1,0.000002,39339
-1,0.000002,39620
-1,0.000002,39902
-1,0.000002,40185
-1,0.000002,40469
-1,0.000002,40754
-1,0.000002,41040
-1,0.000002,41327
-1,0.000002,41615
-1,0.000002,41904
-1,0.000003,42194
-1,0.000004,42485
-1,0.000002,42777
-1,0.000003,43070
-1,0.000003,43364
-1,0.000002,43659
-1,0.000002,43955
-1,0.000002,44252
-1,0.000003,44550
-1,0.000002,44849
-1,0.000002,45149
-1,0.000002,45450
-1,0.000002,45752
-1,0.000003,46055
-1,0.000002,46359
-1,0.000002,46664
-1,0.000002,46970
-1,0.000002,47277
-1,0.000002,47585
-1,0.000002,47894
-1,0.000002,48204
-1,0.000002,48515
-1,0.000002,48827
-1,0.000002,49140
-1,0.000003,49454
-1,0.000002,49769
-1,0.000002,50085
-1,0.000002,50402
-1,0.000003,50720
-1,0.000002,51039
-1,0.000002,51359
-1,0.000002,51680
-1,0.000002,52002
-1,0.000002,52325
-1,0.000003,52649
-1,0.000002,52974
-1,0.000002,53300
-1,0.000002,53627
-1,0.000002,53955
-1,0.000003,54284
-1,0.000002,54614
-1,0.000002,54945
-1,0.000015,55277
-1,0.000003,55610
-1,0.000004,55944
-1,0.000002,56279
-1,0.000002,56615
-1,0.000002,56952
-1,0.000002,57290
-1,0.000002,57629
-1,0.000002,57969
-1,0.000003,58310
-1,0.000003,58652
-1,0.000003,58995
-1,0.000002,59339
-1,0.000002,59684
-1,0.000003,60030
-1,0.000003,60377
-1,0.000003,60725
-1,0.000003,61074
-1,0.000002,61424
-1,0.000002,61775
-1,0.000002,62127
-1,0.000002,62480
-1,0.000002,62834
-1,0.000002,63189
-1,0.000003,63545
-1,0.000003,63902
-1,0.000003,64260
-1,0.000003,64619
-1,0.000002,64979
-1,0.000003,65340
-1,0.000003,65702
-1,0.000003,66065
-1,0.000002,66429
-1,0.000002,66794
-1,0.000002,67160
-1,0.000002,67527
-1,0.000003,67895
-1,0.000003,68264
-1,0.000003,68634
-1,0.000003,69005
-1,0.000002,69377
-1,0.000003,69750
-1,0.000003,70124
-1,0.000003,70499
-1,0.000002,70875
-1,0.000003,71252
-1,0.000003,71630
-1,0.000002,72009
-1,0.000002,72389
-1,0.000002,72770
-1,0.000002,73152
-1,0.000002,73535
-1,0.000003,73919
-1,0.000003,74304
-1,0.000002,74690
-1,0.000002,75077
-1,0.000002,75465
-1,0.000002,75854
-1,0.000002,76244
-1,0.000002,76635
-1,0.000002,77027
-1,0.000002,77420
-1,0.000002,77814
-1,0.000003,78209
-1,0.000003,78605
-1,0.000003,79002
-1,0.000003,79400
-1,0.000002,79799
-1,0.000003,80199
-1,0.000002,80600
-1,0.000002,81002
-1,0.000002,81405
-1,0.000002,81809
-1,0.000003,82214
-1,0.000002,82620
-1,0.000003,83027
-1,0.000003,83435
-1,0.000003,83844
-1,0.000003,84254
-1,0.000003,84665
-1,0.000003,85077
-1,0.000003,85490
-1,0.000002,85904
-1,0.000003,86319
-1,0.000003,86735
-1,0.000003,87152
-1,0.000003,87570
-1,0.000003,87989
-1,0.000002,88409
-1,0.000003,88830
-1,0.000003,89252
-1,0.000002,89675
-1,0.000002,90099
-1,0.000003,90524
-1,0.000003,90950
-1,0.000003,91377
-1,0.000003,91805
-1,0.000003,92234
-1,0.000002,92664
-1,0.000003,93095
-1,0.000003,93527
-1,0.000003,93960
-1,0.000002,94394
-1,0.000003,94829
-1,0.000002,95265
-1,0.000002,95702
-1,0.000003,96140
-1,0.000003,96579
-1,0.000003,97019
-1,0.000003,97460
-1,0.000003,97902
-1,0.000003,98345
-1,0.000002,98789
-1,0.000002,99234
-1,0.000003,99680
-1,0.000003,100127
-1,0.000002,100575
-1,0.000002,101024
-1,0.000003,101474
-1,0.000003,101925
-1,0.000003,102377
-1,0.000003,102830
-1,0.000003,103284
-1,0.000004,103739
-1,0.000003,104195
-1,0.000003,104652
-1,0.000003,105110
-1,0.000003,105569
-1,0.000003,106029
-1,0.000003,106490
-1,0.000003,106952
-1,0.000003,107415
-1,0.000003,107879
-1,0.000002,108344
-1,0.000003,108810
-1,0.000003,109277
-1,0.000004,109745
-1,0.000003,110214
-1,0.000003,110684
-1,0.000003,111155
-1,0.000003,111627
-1,0.000003,112100
-1,0.000003,112574
-1,0.000003,113049
-1,0.000003,113525
-1,0.000003,114002
-1,0.000002,114480
-1,0.000003,114959
-1,0.000002,115439
-1,0.000003,115920
-1,0.000003,116402
-1,0.000003,116885
-1,0.000003,117369
-1,0.000003,117854
-1,0.000003,118340
-1,0.000004,118827
-1,0.000003,119315
-1,0.000003,119804
-1,0.000002,120294
-1,0.000003,120785
-1,0.000004,121277
-1,0.000003,121770
-1,0.000003,122264
-1,0.000004,122759
-1,0.000003,123255
-1,0.000003,123752
-1,0.000003,124250
-1,0.000002,124749
-1,0.000003,125249
-1,0.000004,125750
-1,0.000004,126252
-1,0.000004,126755
-1,0.000004,127259
-1,0.000003,127764
-1,0.000004,128270
-1,0.000004,128777
-1,0.000003,129285
-1,0.000003,129794
-1,0.000003,130304
-1,0.000003,130815
-1,0.000003,131327
-1,0.000003,131840
-1,0.000003,132354
-1,0.000003,132869
-1,0.000003,133385
-1,0.000002,133902
-1,0.000003,134420
-1,0.000003,134939
-1,0.000003,135459
-1,0.000003,135980
-1,0.000003,136502
-1,0.000002,137025
-1,0.000003,137549
-1,0.000003,138074
-1,0.000003,138600
-1,0.000003,139127
-1,0.000003,139655
-1,0.000003,140184
-1,0.000003,140714
-1,0.000003,141245
-1,0.000003,141777
-1,0.000003,142310
-1,0.000003,142844
-1,0.000004,143379
-1,0.000004,143915
-1,0.000004,144452
-1,0.000003,144990
-1,0.000003,145529
-1,0.000003,146069
-1,0.000003,146610
-1,0.000003,147152
-1,0.000003,147695
-1,0.000003,148239
-1,0.000003,148784
-1,0.000004,149330
-1,0.000004,149877
-1,0.000003,150425
-1,0.000002,150974
-1,0.000003,151524
-1,0.000003,152075
-1,0.000003,152627
-1,0.000003,153180
-1,0.000003,153734
-1,0.000004,154289
-1,0.000004,154845
-1,0.000004,155402
-1,0.000003,155960
-1,0.000003,156519
-1,0.000003,157079
-1,0.000003,157640
-1,0.000003,158202
-1,0.000004,158765
-1,0.000003,159329
-1,0.000003,159894
-1,0.000003,160460
-1,0.000003,161027
-1,0.000003,161595
-1,0.000004,162164
-1,0.000004,162734
-1,0.000003,163305
-1,0.000003,163877
-1,0.000003,164450
-1,0.000004,165024
-1,0.000004,165599
-1,0.000004,166175
-1,0.000003,166752
-1,0.000004,167330
-1,0.000004,167909
-1,0.000004,168489
-1,0.000004,169070
-1,0.000004,169652
-1,0.000003,170235
-1,0.000003,170819
-1,0.000004,171404
-1,0.000003,171990
-1,0.000003,172577
-1,0.000003,173165
-1,0.000003,173754
-1,0.000003,174344
-1,0.000003,174935
-1,0.000004,175527
-1,0.000004,176120
-1,0.000003,176714
-1,0.000003,177309
-1,0.000003,177905
-1,0.000004,178502
-1,0.000004,179100
-1,0.000003,179699
-1,0.000003,180299
-1,0.000003,180900
-1,0.000003,181502
-1,0.000003,182105
-1,0.000004,182709
-1,0.000003,183314
-1,0.000004,183920
-1,0.000004,184527
-1,0.000002,185135
-1,0.000003,185744
-1,0.000004,186354
-1,0.000003,186965
-1,0.000004,187577
-1,0.000004,188190
-1,0.000004,188804
-1,0.000003,189419
-1,0.000003,190035
-1,0.000004,190652
-1,0.000004,191270
-1,0.000003,191889
-1,0.000003,192509
-1,0.000004,193130
-1,0.000004,193752
-1,0.000003,194375
-1,0.000003,194999
-1,0.000004,195624
-1,0.000003,196250
-1,0.000004,196877
-1,0.000004,197505
-1,0.000004,198134
-1,0.000004,198764
-1,0.000004,199395
-1,0.000003,200027
-1,0.000004,200660
-1,0.000004,201294
-1,0.000003,201929
-1,0.000004,202565
-1,0.000003,203202
-1,0.000004,203840
-1,0.000004,204479
-1,0.000003,205119
-1,0.000004,205760
-1,0.000004,206402
-1,0.000004,207045
-1,0.000003,207689
-1,0.000004,208334
-1,0.000004,208980
-1,0.000003,209627
-1,0.000003,210275
-1,0.000003,210924
-1,0.000003,211574
-1,0.000004,212225
-1,0.000004,212877
-1,0.000004,213530
-1,0.000003,214184
-1,0.000004,214839
-1,0.000004,215495
-1,0.000003,216152
-1,0.000003,216810
-1,0.000003,217469
-1,0.000003,218129
-1,0.000003,218790
-1,0.000004,219452
-1,0.000003,220115
-1,0.000003,220779
-1,0.000004,221444
-1,0.000004,222110
-1,0.000004,222777
-1,0.000003,223445
-1,0.000004,224114
-1,0.000004,224784
-1,0.000003,225455
-1,0.000004,226127
-1,0.000004,226800
-1,0.000004,227474
-1,0.000004,228149
-1,0.000004,228825
-1,0.000004,229502
-1,0.000004,230180
-1,0.000003,230859
-1,0.000004,231539
-1,0.000004,232220
-1,0.000004,232902
-1,0.000003,233585
-1,0.000004,234269
-1,0.000004,234954
-1,0.000004,235640
-1,0.000004,236327
-1,0.000004,237015
-1,0.000004,237704
-1,0.000004,238394
-1,0.000004,239085
-1,0.000004,239777
-1,0.000004,240470
-1,0.000004,241164
-1,0.000004,241859
-1,0.000004,242555
-1,0.000004,243252
-1,0.000003,243950
-1,0.000004,244649
-1,0.000003,245349
-1,0.000004,246050
-1,0.000004,246752
-1,0.000004,247455
-1,0.000003,248159
-1,0.000004,248864
-1,0.000003,249570
-1,0.000004,250277
-1,0.000005,250985
-1,0.000006,251694
-1,0.000003,252404
-1,0.000004,253115
-1,0.000004,253827
-1,0.000003,254540
-1,0.000003,255254
-1,0.000004,255969
-1,0.000004,256685
-1,0.000004,257402
-1,0.000004,258120
-1,0.000004,258839
-1,0.000003,259559
-1,0.000004,260280
-1,0.000003,261002
-1,0.000004,261725
-1,0.000004,262449
-1,0.000004,263174
-1,0.000004,263900
-1,0.000005,264627
-1,0.000003,265355
-1,0.000004,266084
-1,0.000004,266814
-1,0.000005,267545
-1,0.000003,268277
-1,0.000004,269010
-1,0.000004,269744
-1,0.000004,270479
-1,0.000004,271215
-1,0.000003,271952
-1,0.000003,272690
-1,0.000004,273429
-1,0.000004,274169
-1,0.000003,274910
-1,0.000004,275652
-1,0.000003,276395
-1,0.000004,277139
-1,0.000004,277884
-1,0.000004,278630
-1,0.000004,279377
-1,0.000004,280125
-1,0.000003,280874
-1,0.000004,281624
-1,0.000004,282375
-1,0.000003,283127
-1,0.000004,283880
-1,0.000004,284634
-1,0.000004,285389
-1,0.000004,286145
-1,0.000004,286902
-1,0.000005,287660
-1,0.000004,288419
-1,0.000004,289179
-1,0.000004,289940
-1,0.000004,290702
-1,0.000005,291465
-1,0.000004,292229
-1,0.000004,292994
-1,0.000003,293760
-1,0.000003,294527
-1,0.000004,295295
-1,0.000004,296064
-1,0.000004,296834
-1,0.000004,297605
-1,0.000004,298377
-1,0.000004,299150
-1,0.000004,299924
-1,0.000005,300699
-1,0.000005,301475
-1,0.000004,302252
-1,0.000004,303030
-1,0.000004,303809
-1,0.000004,304589
-1,0.000004,305370
-1,0.000005,306152
-1,0.000004,306935
-1,0.000004,307719
-1,0.000004,308504
-1,0.000004,309290
-1,0.000004,310077
-1,0.000003,310865
-1,0.000005,311654
-1,0.000004,312444
-1,0.000003,313235
-1,0.000004,314027
-1,0.000004,314820
-1,0.000004,315614
-1,0.000005,316409
-1,0.000005,317205
-1,0.000005,318002
-1,0.000003,318800
-1,0.000004,319599
-1,0.000005,320399
-1,0.000004,321200
-1,0.000004,322002
-1,0.000004,322805
-1,0.000004,323609
-1,0.000004,324414
-1,0.000004,325220
-1,0.000004,326027
-1,0.000005,326835
-1,0.000004,327644
-1,0.000004,328454
-1,0.000004,329265
-1,0.000004,330077
-1,0.000004,330890
-1,0.000005,331704
-1,0.000004,332519
-1,0.000004,333335
-1,0.000005,334152
-1,0.000003,334970
-1,0.000005,335789
-1,0.000005,336609
-1,0.000004,337430
-1,0.000004,338252
-1,0.000004,339075
-1,0.000004,339899
-1,0.000004,340724
-1,0.000004,341550
-1,0.000004,342377
-1,0.000005,343205
-1,0.000005,344034
-1,0.000004,344864
-1,0.000004,345695
-1,0.000005,346527
-1,0.000005,347360
-1,0.000005,348194
-1,0.000004,349029
-1,0.000004,349865
-1,0.000004,350702
-1,0.000004,351540
-1,0.000004,352379
-1,0.000004,353219
-1,0.000004,354060
-1,0.000004,354902
-1,0.000004,355745
-1,0.000004,356589
-1,0.000004,357434
-1,0.000004,358280
-1,0.000005,359127
-1,0.000004,359975
-1,0.000005,360824
-1,0.000004,361674
-1,0.000005,362525
-1,0.000005,363377
-1,0.000004,364230
-1,0.000004,365084
-1,0.000005,365939
-1,0.000005,366795
-1,0.000004,367652
-1,0.000004,368510
-1,0.000005,369369
-1,0.000005,370229
-1,0.000004,371090
-1,0.000004,371952
-1,0.000005,372815
-1,0.000005,373679
-1,0.000003,374544
-1,0.000004,375410
-1,0.000004,376277
-1,0.000004,377145
-1,0.000004,378014
-1,0.000004,378884
-1,0.000004,379755
-1,0.000004,380627
-1,0.000005,381500
-1,0.000005,382374
-1,0.000005,383249
-1,0.000005,384125
-1,0.000003,385002
-1,0.000004,385880
-1,0.000005,386759
-1,0.000005,387639
-1,0.000004,388520
-1,0.000004,389402
-1,0.000005,390285
-1,0.000005,391169
-1,0.000005,392054
-1,0.000004,392940
-1,0.000005,393827
-1,0.000005,394715
-1,0.000005,395604
-1,0.000004,396494
-1,0.000004,397385
-1,0.000004,398277
-1,0.000004,399170
-1,0.000004,400064
-1,0.000004,400959
-1,0.000004,401855
-1,0.000005,402752
-1,0.000005,403650
-1,0.000004,404549
-1,0.000005,405449
-1,0.000005,406350
-1,0.000004,407252
-1,0.000004,408155
-1,0.000004,409059
-1,0.000004,409964
-1,0.000005,410870
-1,0.000004,411777
-1,0.000005,412685
-1,0.000005,413594
-1,0.000004,414504
-1,0.000005,415415
-1,0.000005,416327
-1,0.000005,417240
-1,0.000005,418154
-1,0.000005,419069
-1,0.000005,419985
-1,0.000004,420902
-1,0.000005,421820
-1,0.000005,422739
-1,0.000007,423659
-1,0.000005,424580
-1,0.000005,425502
-1,0.000004,426425
-1,0.000005,427349
-1,0.000005,428274
-1,0.000004,429200
-1,0.000005,430127
-1,0.000004,431055
-1,0.000005,431984
-1,0.000005,432914
-1,0.000005,433845
-1,0.000004,434777
-1,0.000005,435710
-1,0.000004,436644
-1,0.000005,437579
-1,0.000005,438515
-1,0.000006,439452
-1,0.000004,440390
-1,0.000005,441329
-1,0.000005,442269
-1,0.000005,443210
-1,0.000004,444152
-1,0.000005,445095
-1,0.000005,446039
-1,0.000005,446984
-1,0.000005,447930
-1,0.000005,448877
-1,0.000005,449825
-1,0.000005,450774
-1,0.000004,451724
-1,0.000005,452675
-1,0.000004,453627
-1,0.000004,454580
-1,0.000006,455534
-1,0.000005,456489
-1,0.000005,457445
-1,0.000005,458402
-1,0.000005,459360
-1,0.000005,460319
-1,0.000005,461279
-1,0.000005,462240
-1,0.000005,463202
-1,0.000005,464165
