sucesso,tempo,comparacoes
-1,0.000002,-1
-1,0.000001,-1
-1,0.000002,0
-1,0.000002,1
-1,0.000001,3
-1,0.000002,5
-1,0.000002,7
-1,0.000002,9
-1,0.000001,12
-1,0.000001,15
-1,0.000002,18
-1,0.000001,21
-1,0.000001,24
-1,0.000001,27
-1,0.000001,30
-1,0.000002,33
-1,0.000001,37
-1,0.000001,41
-1,0.000001,45
-1,0.000002,49
-1,0.000001,53
-1,0.000001,57
-1,0.000001,61
-1,0.000002,65
-1,0.000001,69
-1,0.000001,73
-1,0.000001,77
26,0.000002,108
26,0.000001,138
27,0.000001,169
26,0.000001,198
27,0.000002,228
27,0.000001,258
26,0.000001,288
27,0.000001,319
26,0.000001,347
26,0.000002,375
27,0.000001,404
26,0.000001,435
26,0.000001,465
26,0.000002,495
27,0.000001,526
26,0.000001,557
26,0.000001,586
26,0.000002,615
27,0.000001,645
26,0.000001,676
26,0.000001,706
26,0.000001,736
27,0.000002,767
27,0.000001,798
26,0.000001,829
26,0.000001,860
26,0.000002,887
26,0.000001,914
27,0.000001,942
27,0.000001,970
26,0.000001,1001
26,0.000002,1032
27,0.000001,1064
27,0.000001,1096
26,0.000002,1126
26,0.000001,1156
27,0.000001,1187
27,0.000001,1218
27,0.000001,1249
27,0.000002,1280
26,0.000001,1311
26,0.000001,1342
27,0.000001,1374
27,0.000002,1406
26,0.000001,1435
26,0.000001,1464
26,0.000001,1493
26,0.000001,1522
27,0.000001,1552
27,0.000001,1582
26,0.000001,1614
26,0.000001,1646
26,0.000001,1677
26,0.000001,1708
26,0.000001,1739
26,0.000001,1770
27,0.000002,1802
27,0.000001,1834
26,0.000001,1866
26,0.000001,1898
26,0.000002,1928
26,0.000001,1958
26,0.000001,1988
26,0.000001,2018
27,0.000002,2049
27,0.000001,2080
26,0.000001,2112
26,0.000001,2144
26,0.000001,2175
26,0.000002,2206
26,0.000001,2237
26,0.000001,2268
27,0.000001,2300
27,0.000002,2332
27,0.000001,2364
27,0.000001,2396
26,0.000001,2428
26,0.000002,2460
26,0.000001,2492
26,0.000001,2524
26,0.000001,2552
26,0.000002,2580
26,0.000001,2608
26,0.000001,2636
27,0.000001,2665
27,0.000001,2694
27,0.000002,2723
27,0.000001,2752
26,0.000001,2784
26,0.000001,2816
26,0.000001,2848
26,0.000002,2880
27,0.000001,2913
27,0.000001,2946
27,0.000001,2979
27,0.000002,3012
26,0.000001,3043
26,0.000001,3074
26,0.000001,3105
26,0.000001,3136
27,0.000001,3168
27,0.000001,3200
27,0.000001,3232
27,0.000001,3264
27,0.000002,3296
27,0.000001,3328
27,0.000001,3360
27,0.000001,3392
26,0.000002,3424
26,0.000001,3456
26,0.000001,3488
26,0.000001,3520
27,0.000002,3553
27,0.000001,3586
27,0.000001,3619
27,0.000001,3652
26,0.000001,3682
26,0.000002,3712
26,0.000001,3742
26,0.000001,3772
26,0.000001,3802
26,0.000002,3832
26,0.000001,3862
26,0.000001,3892
27,0.000001,3923
27,0.000001,3954
27,0.000002,3985
27,0.000001,4016
26,0.000001,4049
26,0.000001,4082
26,0.000002,4115
26,0.000001,4148
26,0.000001,4180
26,0.000001,4212
26,0.000002,4244
26,0.000001,4276
26,0.000001,4308
26,0.000001,4340
26,0.000001,4372
26,0.000001,4404
27,0.000001,4437
27,0.000001,4470
27,0.000001,4503
27,0.000002,4536
26,0.000001,4569
26,0.000001,4602
26,0.000002,4635
26,0.000001,4668
26,0.000001,4699
26,0.000001,4730
26,0.000001,4761
26,0.000002,4792
26,0.000001,4823
26,0.000001,4854
26,0.000001,4885
26,0.000002,4916
27,0.000001,4948
27,0.000001,4980
27,0.000001,5012
27,0.000001,5044
26,0.000002,5077
26,0.000001,5110
26,0.000001,5143
26,0.000002,5176
26,0.000001,5208
26,0.000001,5240
26,0.000001,5272
26,0.000001,5304
26,0.000002,5336
26,0.000001,5368
26,0.000001,5400
26,0.000001,5432
27,0.000002,5465
27,0.000001,5498
27,0.000001,5531
27,0.000001,5564
27,0.000002,5597
27,0.000001,5630
27,0.000001,5663
27,0.000001,5696
26,0.000002,5729
26,0.000001,5762
26,0.000001,5795
26,0.000001,5828
26,0.000002,5861
26,0.000001,5894
26,0.000001,5927
26,0.000001,5960
26,0.000002,5989
26,0.000001,6018
26,0.000001,6047
26,0.000001,6076
26,0.000001,6105
26,0.000002,6134
26,0.000001,6163
26,0.000001,6192
27,0.000001,6222
27,0.000001,6252
27,0.000002,6282
27,0.000001,6312
27,0.000001,6342
27,0.000001,6372
27,0.000001,6402
27,0.000002,6432
26,0.000001,6465
26,0.000001,6498
26,0.000001,6531
26,0.000002,6564
26,0.000001,6597
26,0.000001,6630
26,0.000001,6663
26,0.000002,6696
27,0.000001,6730
27,0.000001,6764
27,0.000001,6798
27,0.000002,6832
27,0.000001,6866
27,0.000001,6900
27,0.000001,6934
27,0.000001,6968
26,0.000002,7000
26,0.000001,7032
26,0.000001,7064
26,0.000001,7096
26,0.000002,7128
26,0.000001,7160
26,0.000001,7192
26,0.000001,7224
27,0.000001,7257
27,0.000002,7290
27,0.000001,7323
27,0.000001,7356
27,0.000001,7389
27,0.000002,7422
27,0.000001,7455
27,0.000001,7488
27,0.000001,7521
27,0.000001,7554
27,0.000001,7587
27,0.000001,7620
27,0.000001,7653
27,0.000001,7686
27,0.000002,7719
27,0.000001,7752
26,0.000001,7785
26,0.000001,7818
26,0.000002,7851
26,0.000001,7884
26,0.000001,7917
26,0.000001,7950
26,0.000002,7983
26,0.000001,8016
27,0.000001,8050
27,0.000001,8084
27,0.000002,8118
27,0.000001,8152
27,0.000001,8186
27,0.000001,8220
27,0.000001,8254
27,0.000002,8288
26,0.000001,8319
26,0.000001,8350
26,0.000001,8381
26,0.000002,8412
26,0.000001,8443
26,0.000001,8474
26,0.000001,8505
26,0.000001,8536
26,0.000002,8567
26,0.000001,8598
26,0.000001,8629
26,0.000001,8660
26,0.000001,8691
26,0.000002,8722
26,0.000001,8753
26,0.000001,8784
27,0.000001,8816
27,0.000002,8848
27,0.000001,8880
27,0.000001,8912
27,0.000001,8944
27,0.000001,8976
27,0.000002,9008
27,0.000001,9040
26,0.000001,9074
26,0.000001,9108
26,0.000002,9142
26,0.000001,9176
26,0.000001,9210
26,0.000001,9244
26,0.000002,9278
26,0.000001,9312
26,0.000001,9345
26,0.000001,9378
26,0.000002,9411
26,0.000001,9444
26,0.000001,9477
26,0.000001,9510
26,0.000002,9543
26,0.000001,9576
26,0.000001,9609
26,0.000001,9642
26,0.000001,9675
26,0.000002,9708
26,0.000001,9741
26,0.000001,9774
26,0.000001,9807
26,0.000002,9840
27,0.000001,9874
27,0.000001,9908
27,0.000001,9942
27,0.000002,9976
27,0.000001,10010
27,0.000001,10044
27,0.000001,10078
27,0.000002,10112
26,0.000001,10146
26,0.000001,10180
26,0.000001,10214
26,0.000002,10248
26,0.000001,10282
26,0.000001,10316
26,0.000001,10350
26,0.000002,10384
26,0.000001,10416
26,0.000001,10448
26,0.000001,10480
26,0.000002,10512
26,0.000001,10544
26,0.000001,10576
26,0.000001,10608
26,0.000001,10640
26,0.000001,10672
26,0.000002,10704
26,0.000002,10736
26,0.000001,10768
26,0.000001,10800
26,0.000001,10832
26,0.000002,10864
26,0.000001,10896
27,0.000001,10929
27,0.000001,10962
27,0.000002,10995
27,0.000001,11028
27,0.000001,11061
27,0.000001,11094
27,0.000001,11127
27,0.000001,11160
26,0.000001,11194
26,0.000001,11228
26,0.000002,11262
26,0.000001,11296
26,0.000001,11330
26,0.000001,11364
26,0.000002,11398
26,0.000001,11432
26,0.000001,11465
26,0.000001,11498
26,0.000002,11531
26,0.000001,11564
26,0.000001,11597
26,0.000001,11630
26,0.000002,11663
26,0.000001,11696
26,0.000001,11729
26,0.000001,11762
26,0.000002,11795
26,0.000001,11828
26,0.000001,11861
26,0.000001,11894
26,0.000001,11927
26,0.000001,11960
27,0.000001,11994
27,0.000001,12028
27,0.000001,12062
27,0.000001,12096
27,0.000001,12130
27,0.000001,12164
27,0.000001,12198
27,0.000001,12232
27,0.000001,12266
27,0.000002,12300
27,0.000001,12334
27,0.000001,12368
27,0.000001,12402
27,0.000002,12436
27,0.000001,12470
27,0.000001,12504
26,0.000001,12538
26,0.000002,12572
26,0.000002,12606
26,0.000001,12640
26,0.000001,12674
26,0.000001,12708
26,0.000002,12742
26,0.000001,12776
26,0.000001,12810
26,0.000001,12844
26,0.000002,12878
26,0.000001,12912
26,0.000001,12946
26,0.000001,12980
26,0.000002,13014
26,0.000001,13048
26,0.000001,13078
26,0.000001,13108
26,0.000001,13138
26,0.000001,13168
26,0.000001,13198
26,0.000002,13228
26,0.000001,13258
26,0.000001,13288
26,0.000001,13318
26,0.000002,13348
26,0.000001,13378
26,0.000001,13408
26,0.000002,13438
26,0.000001,13468
26,0.000001,13498
26,0.000001,13528
27,0.000001,13559
27,0.000001,13590
27,0.000001,13621
27,0.000002,13652
27,0.000001,13683
27,0.000001,13714
27,0.000001,13745
27,0.000001,13776
27,0.000001,13807
27,0.000001,13838
27,0.000001,13869
27,0.000001,13900
27,0.000001,13931
27,0.000001,13962
27,0.000002,13993
27,0.000001,14024
26,0.000001,14058
26,0.000001,14092
26,0.000002,14126
26,0.000001,14160
26,0.000001,14194
26,0.000001,14228
26,0.000002,14262
26,0.000001,14296
26,0.000001,14330
26,0.000001,14364
26,0.000002,14398
26,0.000001,14432
26,0.000001,14466
26,0.000001,14500
26,0.000002,14534
26,0.000001,14568
27,0.000001,14603
27,0.000001,14638
27,0.000001,14673
27,0.000001,14708
27,0.000001,14743
27,0.000001,14778
27,0.000001,14813
27,0.000001,14848
27,0.000001,14883
27,0.000002,14918
27,0.000001,14953
27,0.000001,14988
27,0.000001,15023
27,0.000002,15058
27,0.000001,15093
27,0.000001,15128
26,0.000001,15161
26,0.000002,15194
26,0.000001,15227
26,0.000001,15260
26,0.000001,15293
26,0.000002,15326
26,0.000001,15359
26,0.000001,15392
26,0.000001,15425
26,0.000002,15458
26,0.000001,15491
26,0.000001,15524
26,0.000001,15557
26,0.000002,15590
26,0.000001,15623
26,0.000001,15656
27,0.000001,15690
27,0.000001,15724
27,0.000001,15758
27,0.000001,15792
27,0.000001,15826
27,0.000001,15860
27,0.000001,15894
27,0.000001,15928
27,0.000002,15962
27,0.000001,15996
27,0.000001,16030
27,0.000001,16064
27,0.000002,16098
27,0.000001,16132
27,0.000001,16166
27,0.000001,16200
27,0.000002,16234
27,0.000001,16268
27,0.000001,16302
27,0.000001,16336
27,0.000002,16370
27,0.000001,16404
27,0.000001,16438
27,0.000001,16472
27,0.000002,16506
27,0.000001,16540
27,0.000001,16574
27,0.000001,16608
27,0.000002,16642
27,0.000001,16676
27,0.000001,16710
27,0.000001,16744
26,0.000001,16778
26,0.000001,16812
26,0.000001,16846
26,0.000001,16880
26,0.000002,16914
26,0.000001,16948
26,0.000001,16982
26,0.000001,17016
26,0.000002,17050
26,0.000001,17084
26,0.000001,17118
26,0.000001,17152
26,0.000002,17186
26,0.000001,17220
26,0.000001,17254
26,0.000001,17288
27,0.000002,17323
27,0.000001,17358
27,0.000001,17393
27,0.000001,17428
27,0.000002,17463
27,0.000001,17498
27,0.000001,17533
27,0.000001,17568
27,0.000002,17603
27,0.000001,17638
27,0.000001,17673
27,0.000001,17708
27,0.000001,17743
27,0.000001,17778
27,0.000001,17813
27,0.000001,17848
26,0.000002,17880
26,0.000001,17912
26,0.000001,17944
26,0.000001,17976
26,0.000002,18008
26,0.000001,18040
26,0.000001,18072
26,0.000001,18104
26,0.000002,18136
26,0.000001,18168
26,0.000001,18200
26,0.000001,18232
26,0.000002,18264
26,0.000001,18296
26,0.000001,18328
26,0.000001,18360
26,0.000001,18392
26,0.000001,18424
26,0.000001,18456
26,0.000001,18488
26,0.000001,18520
26,0.000001,18552
26,0.000001,18584
26,0.000002,18616
26,0.000001,18648
26,0.000001,18680
26,0.000001,18712
26,0.000002,18744
26,0.000001,18776
26,0.000001,18808
26,0.000001,18840
26,0.000002,18872
27,0.000001,18905
27,0.000001,18938
27,0.000001,18971
27,0.000001,19004
27,0.000001,19037
27,0.000001,19070
27,0.000002,19103
27,0.000001,19136
27,0.000001,19169
27,0.000001,19202
27,0.000002,19235
27,0.000001,19268
27,0.000001,19301
27,0.000001,19334
27,0.000002,19367
27,0.000001,19400
26,0.000001,19435
26,0.000001,19470
26,0.000002,19505
26,0.000001,19540
26,0.000001,19575
26,0.000001,19610
26,0.000001,19645
26,0.000002,19680
26,0.000001,19715
26,0.000001,19750
26,0.000001,19785
26,0.000002,19820
26,0.000001,19855
26,0.000001,19890
26,0.000001,19925
26,0.000002,19960
26,0.000001,19994
26,0.000001,20028
26,0.000001,20062
26,0.000001,20096
26,0.000001,20130
26,0.000001,20164
26,0.000001,20198
26,0.000001,20232
26,0.000001,20266
26,0.000001,20300
26,0.000001,20334
26,0.000001,20368
26,0.000001,20402
26,0.000001,20436
26,0.000001,20470
26,0.000001,20504
26,0.000001,20538
26,0.000001,20572
26,0.000001,20606
26,0.000001,20640
26,0.000001,20674
26,0.000001,20708
26,0.000001,20742
26,0.000001,20776
26,0.000001,20810
26,0.000001,20844
26,0.000001,20878
26,0.000001,20912
26,0.000002,20946
26,0.000001,20980
26,0.000001,21014
26,0.000001,21048
27,0.000002,21083
27,0.000001,21118
27,0.000001,21153
27,0.000001,21188
27,0.000002,21223
27,0.000001,21258
27,0.000001,21293
27,0.000001,21328
27,0.000002,21363
27,0.000001,21398
27,0.000001,21433
27,0.000001,21468
27,0.000002,21503
27,0.000001,21538
27,0.000001,21573
27,0.000001,21608
26,0.000002,21643
26,0.000001,21678
26,0.000001,21713
26,0.000001,21748
26,0.000002,21783
26,0.000002,21818
26,0.000002,21853
26,0.000002,21888
26,0.000003,21923
26,0.000002,21958
26,0.000001,21993
26,0.000001,22028
26,0.000001,22063
26,0.000001,22098
26,0.000002,22133
26,0.000001,22168
26,0.000001,22201
26,0.000001,22234
26,0.000002,22267
26,0.000001,22300
26,0.000001,22333
26,0.000001,22366
26,0.000002,22399
26,0.000001,22432
26,0.000001,22465
26,0.000001,22498
26,0.000002,22531
26,0.000001,22564
26,0.000001,22597
26,0.000001,22630
26,0.000002,22663
26,0.000001,22696
26,0.000001,22729
26,0.000001,22762
26,0.000001,22795
26,0.000002,22828
26,0.000001,22861
26,0.000001,22894
26,0.000001,22927
26,0.000002,22960
26,0.000001,22993
26,0.000001,23026
26,0.000001,23059
26,0.000001,23092
26,0.000001,23125
26,0.000001,23158
26,0.000001,23191
26,0.000001,23224
27,0.000001,23258
27,0.000001,23292
27,0.000001,23326
27,0.000002,23360
27,0.000001,23394
27,0.000001,23428
27,0.000001,23462
27,0.000002,23496
27,0.000001,23530
27,0.000001,23564
27,0.000002,23598
27,0.000002,23632
27,0.000001,23666
27,0.000001,23700
27,0.000002,23734
27,0.000002,23768
26,0.000001,23803
26,0.000001,23838
26,0.000001,23873
26,0.000001,23908
26,0.000001,23943
26,0.000001,23978
26,0.000001,24013
26,0.000002,24048
26,0.000001,24083
26,0.000001,24118
26,0.000001,24153
26,0.000002,24188
26,0.000001,24223
26,0.000001,24258
26,0.000001,24293
26,0.000002,24328
26,0.000001,24362
26,0.000001,24396
26,0.000002,24430
26,0.000001,24464
26,0.000001,24498
26,0.000001,24532
26,0.000002,24566
26,0.000001,24600
26,0.000001,24634
26,0.000002,24668
26,0.000001,24702
26,0.000001,24736
26,0.000001,24770
26,0.000001,24804
26,0.000001,24838
26,0.000003,24872
26,0.000002,24906
26,0.000001,24940
26,0.000001,24974
26,0.000001,25008
26,0.000002,25042
26,0.000002,25076
26,0.000001,25110
26,0.000002,25144
26,0.000002,25178
26,0.000001,25212
26,0.000001,25246
26,0.000002,25280
26,0.000001,25314
26,0.000002,25348
26,0.000002,25382
26,0.000002,25416
27,0.000001,25451
27,0.000001,25486
27,0.000002,25521
27,0.000001,25556
27,0.000002,25591
27,0.000001,25626
27,0.000002,25661
27,0.000001,25696
27,0.000001,25731
27,0.000002,25766
27,0.000001,25801
27,0.000002,25836
27,0.000001,25871
27,0.000001,25906
27,0.000002,25941
27,0.000002,25976
27,0.000001,26011
27,0.000002,26046
27,0.000002,26081
27,0.000002,26116
27,0.000001,26151
27,0.000002,26186
27,0.000002,26221
27,0.000002,26256
27,0.000002,26291
27,0.000002,26326
27,0.000002,26361
27,0.000001,26396
27,0.000002,26431
27,0.000002,26466
27,0.000002,26501
27,0.000001,26536
26,0.000001,26571
26,0.000002,26606
26,0.000001,26641
26,0.000002,26676
26,0.000002,26711
26,0.000001,26746
26,0.000001,26781
26,0.000001,26816
26,0.000002,26851
26,0.000001,26886
26,0.000001,26921
26,0.000001,26956
26,0.000001,26991
26,0.000002,27026
26,0.000001,27061
26,0.000002,27096
26,0.000001,27131
26,0.000001,27166
26,0.000002,27201
26,0.000001,27236
26,0.000001,27271
26,0.000001,27306
26,0.000002,27341
26,0.000001,27376
26,0.000001,27411
26,0.000001,27446
26,0.000001,27481
26,0.000001,27516
26,0.000002,27551
26,0.000001,27586
26,0.000001,27621
26,0.000002,27656
26,0.000001,27687
26,0.000001,27718
26,0.000002,27749
26,0.000001,27780
26,0.000001,27811
26,0.000002,27842
26,0.000001,27873
26,0.000002,27904
26,0.000001,27935
26,0.000001,27966
26,0.000001,27997
26,0.000001,28028
26,0.000001,28059
26,0.000002,28090
26,0.000001,28121
26,0.000002,28152
26,0.000001,28183
26,0.000002,28214
26,0.000001,28245
26,0.000001,28276
26,0.000001,28307
26,0.000001,28338
26,0.000001,28369
26,0.000002,28400
26,0.000001,28431
26,0.000002,28462
26,0.000001,28493
26,0.000001,28524
26,0.000001,28555
26,0.000002,28586
26,0.000001,28617
26,0.000001,28648
27,0.000001,28680
27,0.000001,28712
27,0.000002,28744
27,0.000001,28776
27,0.000001,28808
27,0.000002,28840
27,0.000001,28872
27,0.000001,28904
27,0.000002,28936
27,0.000001,28968
27,0.000001,29000
27,0.000002,29032
27,0.000001,29064
27,0.000001,29096
27,0.000002,29128
27,0.000001,29160
27,0.000001,29192
27,0.000002,29224
27,0.000001,29256
27,0.000002,29288
27,0.000001,29320
27,0.000002,29352
27,0.000001,29384
27,0.000001,29416
27,0.000001,29448
27,0.000001,29480
27,0.000001,29512
27,0.000001,29544
27,0.000002,29576
27,0.000001,29608
27,0.000002,29640
27,0.000002,29672
26,0.000002,29707
26,0.000002,29742
26,0.000002,29777
26,0.000002,29812
26,0.000002,29847
26,0.000001,29882
26,0.000002,29917
26,0.000002,29952
26,0.000001,29987
26,0.000001,30022
26,0.000001,30057
26,0.000001,30092
26,0.000001,30127
26,0.000002,30162
26,0.000002,30197
26,0.000002,30232
26,0.000002,30267
26,0.000002,30302
26,0.000003,30337
26,0.000002,30372
26,0.000002,30407
26,0.000002,30442
26,0.000002,30477
26,0.000001,30512
26,0.000002,30547
26,0.000001,30582
26,0.000002,30617
26,0.000002,30652
26,0.000002,30687
26,0.000003,30722
26,0.000002,30757
26,0.000001,30792
27,0.000002,30828
27,0.000002,30864
27,0.000003,30900
27,0.000002,30936
27,0.000002,30972
27,0.000004,31008
27,0.000002,31044
27,0.000001,31080
27,0.000001,31116
27,0.000002,31152
27,0.000001,31188
27,0.000001,31224
27,0.000002,31260
27,0.000001,31296
27,0.000001,31332
27,0.000002,31368
27,0.000003,31404
27,0.000002,31440
27,0.000002,31476
27,0.000002,31512
27,0.000002,31548
27,0.000001,31584
27,0.000002,31620
27,0.000003,31656
27,0.000001,31692
27,0.000002,31728
27,0.000002,31764
27,0.000002,31800
27,0.000001,31836
27,0.000001,31872
27,0.000002,31908
27,0.000002,31944
26,0.000002,31978
26,0.000004,32012
26,0.000002,32046
26,0.000002,32080
26,0.000002,32114
26,0.000003,32148
26,0.000003,32182
26,0.000003,32216
26,0.000002,32250
26,0.000003,32284
26,0.000002,32318
26,0.000003,32352
26,0.000002,32386
26,0.000002,32420
26,0.000001,32454
26,0.000003,32488
26,0.000001,32522
26,0.000001,32556
26,0.000002,32590
26,0.000001,32624
26,0.000001,32658
26,0.000001,32692
26,0.000001,32726
26,0.000001,32760
26,0.000001,32794
26,0.000001,32828
26,0.000001,32862
26,0.000001,32896
26,0.000001,32930
26,0.000001,32964
26,0.000001,32998
26,0.000001,33032
27,0.000001,33067
27,0.000001,33102
27,0.000001,33137
27,0.000001,33172
27,0.000001,33207
27,0.000001,33242
27,0.000001,33277
27,0.000001,33312
27,0.000001,33347
27,0.000002,33382
27,0.000001,33417
27,0.000001,33452
27,0.000002,33487
27,0.000001,33522
27,0.000001,33557
27,0.000001,33592
27,0.000001,33627
27,0.000002,33662
27,0.000002,33697
27,0.000003,33732
27,0.000002,33767
27,0.000002,33802
27,0.000001,33837
27,0.000002,33872
27,0.000002,33907
27,0.000002,33942
27,0.000002,33977
27,0.000002,34012
27,0.000001,34047
27,0.000001,34082
27,0.000002,34117
27,0.000002,34152
27,0.000002,34187
27,0.000002,34222
27,0.000001,34257
27,0.000002,34292
27,0.000003,34327
