sucesso,tempo,comparacoes
-1,0.000001,-1
-1,0.000002,-1
-1,0.000001,0
-1,0.000001,1
-1,0.000002,3
-1,0.000001,5
-1,0.000001,7
-1,0.000001,9
-1,0.000001,12
-1,0.000001,15
-1,0.000001,18
-1,0.000001,21
-1,0.000001,24
-1,0.000001,27
-1,0.000001,30
-1,0.000001,33
-1,0.000001,37
-1,0.000001,41
-1,0.000001,45
-1,0.000001,49
-1,0.000001,53
-1,0.000001,57
-1,0.000002,61
-1,0.000001,65
-1,0.000001,69
-1,0.000001,73
-1,0.000001,77
-1,0.000001,81
27,0.000001,113
27,0.000001,144
28,0.000002,176
27,0.000001,206
27,0.000001,236
28,0.000001,267
27,0.000001,298
28,0.000001,330
28,0.000001,362
27,0.000002,391
28,0.000001,421
27,0.000001,453
27,0.000001,485
27,0.000002,516
28,0.000001,548
27,0.000001,580
27,0.000001,612
27,0.000001,642
28,0.000001,673
27,0.000001,705
27,0.000002,737
27,0.000001,768
27,0.000001,799
28,0.000001,831
28,0.000001,863
27,0.000001,895
27,0.000001,927
27,0.000001,955
27,0.000001,983
28,0.000001,1012
28,0.000001,1041
27,0.000002,1073
27,0.000001,1105
28,0.000001,1138
28,0.000001,1171
27,0.000002,1202
27,0.000001,1233
27,0.000001,1264
27,0.000001,1295
28,0.000001,1327
28,0.000001,1359
27,0.000001,1391
27,0.000002,1423
28,0.000001,1456
28,0.000001,1489
28,0.000001,1522
28,0.000002,1555
27,0.000001,1585
27,0.000001,1615
28,0.000001,1646
28,0.000001,1677
27,0.000001,1710
27,0.000001,1743
27,0.000002,1776
27,0.000001,1809
27,0.000001,1841
27,0.000001,1873
28,0.000002,1906
28,0.000001,1939
27,0.000001,1972
27,0.000001,2005
27,0.000001,2038
27,0.000001,2071
27,0.000001,2102
27,0.000002,2133
28,0.000001,2165
28,0.000001,2197
27,0.000001,2230
27,0.000002,2263
27,0.000001,2296
27,0.000001,2329
27,0.000001,2361
27,0.000002,2393
27,0.000001,2425
27,0.000001,2457
28,0.000002,2490
28,0.000001,2523
28,0.000001,2556
28,0.000001,2589
27,0.000002,2622
27,0.000001,2655
27,0.000001,2688
27,0.000001,2721
27,0.000002,2750
27,0.000001,2779
27,0.000001,2808
27,0.000001,2837
28,0.000001,2867
28,0.000001,2897
28,0.000001,2927
28,0.000001,2957
27,0.000001,2990
27,0.000001,3023
27,0.000001,3056
27,0.000001,3089
28,0.000001,3123
28,0.000001,3157
28,0.000002,3191
28,0.000001,3225
27,0.000001,3257
27,0.000001,3289
27,0.000002,3321
27,0.000001,3353
27,0.000001,3385
27,0.000001,3417
27,0.000001,3449
27,0.000001,3481
28,0.000001,3514
28,0.000001,3547
28,0.000001,3580
28,0.000001,3613
27,0.000001,3646
27,0.000002,3679
27,0.000001,3712
27,0.000001,3745
28,0.000001,3779
28,0.000001,3813
28,0.000001,3847
28,0.000001,3881
28,0.000001,3915
28,0.000002,3949
28,0.000001,3983
28,0.000001,4017
27,0.000001,4048
27,0.000002,4079
27,0.000001,4110
27,0.000001,4141
28,0.000001,4173
28,0.000001,4205
28,0.000001,4237
28,0.000001,4269
27,0.000002,4303
27,0.000001,4337
27,0.000001,4371
27,0.000001,4405
27,0.000002,4439
27,0.000001,4473
27,0.000001,4507
27,0.000001,4541
27,0.000002,4574
27,0.000001,4607
27,0.000001,4640
27,0.000001,4673
28,0.000002,4707
28,0.000001,4741
28,0.000001,4775
28,0.000001,4809
27,0.000002,4843
27,0.000001,4877
27,0.000001,4911
27,0.000001,4945
27,0.000002,4979
27,0.000001,5013
27,0.000001,5047
27,0.000002,5081
27,0.000002,5113
27,0.000001,5145
27,0.000002,5177
27,0.000001,5209
28,0.000002,5242
28,0.000001,5275
28,0.000002,5308
28,0.000002,5341
27,0.000001,5375
27,0.000001,5409
27,0.000002,5443
27,0.000001,5477
27,0.000002,5511
27,0.000002,5545
27,0.000001,5579
27,0.000001,5613
27,0.000002,5646
27,0.000001,5679
27,0.000001,5712
27,0.000002,5745
27,0.000001,5778
27,0.000002,5811
27,0.000003,5844
27,0.000003,5877
28,0.000002,5911
28,0.000002,5945
28,0.000002,5979
28,0.000001,6013
28,0.000001,6047
28,0.000001,6081
28,0.000002,6115
28,0.000001,6149
27,0.000002,6183
27,0.000002,6217
27,0.000001,6251
27,0.000001,6285
27,0.000001,6319
27,0.000001,6353
27,0.000002,6387
27,0.000001,6421
